X,Y,NAME,POINT_NM,MATERIAL,DPWT,ADR_KNM,CATEGORY,ID,OBS_CODE,OBS_POST_ID,FISH,CAUTION,LOC_INFO
124.7294722,37.83177778,대청도·소청도,선진포항 앞바다,가는 모래,13~20,인천광역시 옹진군,0,1,IE_0062,웅진소청초,,대청도 옥죽포항 입구에서 북동쪽 1.5km 해상에는 수심 1.3m의 암초가 존재하므로 주의하여야 하며 항 입구는 사빈지형을 이루어 얕은 수심 분포를 보이므로 저조시에 입항하는 선박은 주의하여야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 삼치, 쏨뱅이, 우럭 등이다. 루어낚시는 그럽웜, 메탈지그, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 게, 미꾸라지, 새우, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 대청도와 소청도는 군사지역이 많은 곳이어서 야간에는 갯바위 및 방파제 낚시가 제한되는 구역이 많으며 선상낚시는 조류가 강한 사리 때보다 조금 때가 적당하고 특히 가을철에는 산란기를 맞은 쏨뱅이가 찾아와 조황이 매우 좋다. 대청도 북부는 모래지역이라 낚시하기에 부적합하고 섬의 남서부는 조황이 좋으나 물살이 세고 갯바위가 험해 포인트 진입 시 주민안내(전문가)를 받아야 하며 꼭 구명조끼 등 보호 장비를 착용하는 것이 좋다. ※ 소청도는 낚시점이 없으므로 미끼 및 낚시용품 등 철저한 준비를 한 후 입도하여야 한다."
124.7802222,37.77727778,대청도·소청도,곽암 부근,"자갈, 조개껍질",23~29,인천광역시 옹진군,0,2,IE_0062,웅진소청초,,대청도 옥죽포항 입구에서 북동쪽 1.5km 해상에는 수심 1.3m의 암초가 존재하므로 주의하여야 하며 항 입구는 사빈지형을 이루어 얕은 수심 분포를 보이므로 저조시에 입항하는 선박은 주의하여야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 삼치, 쏨뱅이, 우럭 등이다. 루어낚시는 그럽웜, 메탈지그, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 게, 미꾸라지, 새우, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 대청도와 소청도는 군사지역이 많은 곳이어서 야간에는 갯바위 및 방파제 낚시가 제한되는 구역이 많으며 선상낚시는 조류가 강한 사리 때보다 조금 때가 적당하고 특히 가을철에는 산란기를 맞은 쏨뱅이가 찾아와 조황이 매우 좋다. 대청도 북부는 모래지역이라 낚시하기에 부적합하고 섬의 남서부는 조황이 좋으나 물살이 세고 갯바위가 험해 포인트 진입 시 주민안내(전문가)를 받아야 하며 꼭 구명조끼 등 보호 장비를 착용하는 것이 좋다. ※ 소청도는 낚시점이 없으므로 미끼 및 낚시용품 등 철저한 준비를 한 후 입도하여야 한다."
124.73375,37.7515,대청도·소청도,가두암 부근,가는 모래,26~30,인천광역시 옹진군,0,3,IE_0062,웅진소청초,,대청도 옥죽포항 입구에서 북동쪽 1.5km 해상에는 수심 1.3m의 암초가 존재하므로 주의하여야 하며 항 입구는 사빈지형을 이루어 얕은 수심 분포를 보이므로 저조시에 입항하는 선박은 주의하여야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 삼치, 쏨뱅이, 우럭 등이다. 루어낚시는 그럽웜, 메탈지그, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 게, 미꾸라지, 새우, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 대청도와 소청도는 군사지역이 많은 곳이어서 야간에는 갯바위 및 방파제 낚시가 제한되는 구역이 많으며 선상낚시는 조류가 강한 사리 때보다 조금 때가 적당하고 특히 가을철에는 산란기를 맞은 쏨뱅이가 찾아와 조황이 매우 좋다. 대청도 북부는 모래지역이라 낚시하기에 부적합하고 섬의 남서부는 조황이 좋으나 물살이 세고 갯바위가 험해 포인트 진입 시 주민안내(전문가)를 받아야 하며 꼭 구명조끼 등 보호 장비를 착용하는 것이 좋다. ※ 소청도는 낚시점이 없으므로 미끼 및 낚시용품 등 철저한 준비를 한 후 입도하여야 한다."
124.6640833,37.80127778,대청도·소청도,갑죽도 부근,"모래, 조개껍질",22~27,인천광역시 옹진군,0,4,IE_0062,웅진소청초,,대청도 옥죽포항 입구에서 북동쪽 1.5km 해상에는 수심 1.3m의 암초가 존재하므로 주의하여야 하며 항 입구는 사빈지형을 이루어 얕은 수심 분포를 보이므로 저조시에 입항하는 선박은 주의하여야 한다.,"이 부근의 주요 어종은 넙치, 노래미, 농어, 삼치, 쏨뱅이, 우럭 등이다. 루어낚시는 그럽웜, 메탈지그, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 게, 미꾸라지, 새우, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 대청도와 소청도는 군사지역이 많은 곳이어서 야간에는 갯바위 및 방파제 낚시가 제한되는 구역이 많으며 선상낚시는 조류가 강한 사리 때보다 조금 때가 적당하고 특히 가을철에는 산란기를 맞은 쏨뱅이가 찾아와 조황이 매우 좋다. 대청도 북부는 모래지역이라 낚시하기에 부적합하고 섬의 남서부는 조황이 좋으나 물살이 세고 갯바위가 험해 포인트 진입 시 주민안내(전문가)를 받아야 하며 꼭 구명조끼 등 보호 장비를 착용하는 것이 좋다. ※ 소청도는 낚시점이 없으므로 미끼 및 낚시용품 등 철저한 준비를 한 후 입도하여야 한다."
126.3179722,37.52283333,장봉도,비가지(날가지도) 부근,"모래, 펄",6~11,인천광역시 옹진군,0,5,IE_0062,웅진소청초,,장봉도 남쪽해역은 김양식장이 산재해 있고 옹암선착장 북쪽 부근으로는 암초가 많으므로 고조시라도 주의해야 한다.,"장봉도의 주요 어종은 넙치, 노래미, 망둑어, 붕장어, 숭어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기낚시는 곤쟁이, 미꾸라지, 생선살, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴 등을 사용한다. 장봉도 부근은 사리 때에는 물살이 강하므로 조금 때 낚시하기가 좋다"
126.3976667,37.53811111,장봉도,부도 부근,모래,10~15,인천광역시 옹진군,0,6,IE_0062,웅진소청초,,장봉도 남쪽해역은 김양식장이 산재해 있고 옹암선착장 북쪽 부근으로는 암초가 많으므로 고조시라도 주의해야 한다.,"장봉도의 주요 어종은 넙치, 노래미, 망둑어, 붕장어, 숭어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시, 훌치기낚시는 곤쟁이, 미꾸라지, 생선살, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴 등을 사용한다. 장봉도 부근은 사리 때에는 물살이 강하므로 조금 때 낚시하기가 좋다"
126.2794167,37.27786111,자월도,묵통도 부근,모래,12.5~14,인천광역시 옹진군,0,7,IE_0062,웅진소청초,,자월도의 북측 서쪽 끝 부근으로부터 북동쪽 약 11km까지 얕은 펄이 뻗쳐 곳곳에 간출되므로 항해 시 주의가 필요하다.,"자월도의 주요 어종은 넙치, 노래미, 농어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 미꾸라지, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 자월도는 어종이 다양하지 않으므로 간단한 채비로 방파제 및 갯바위에서 낚시를 즐겨도 된다."
126.3135556,37.26952778,자월도,입암두 앞바다,모래,8~10,인천광역시 옹진군,0,8,IE_0062,웅진소청초,,자월도의 북측 서쪽 끝 부근으로부터 북동쪽 약 11km까지 얕은 펄이 뻗쳐 곳곳에 간출되므로 항해 시 주의가 필요하다.,"자월도의 주요 어종은 넙치, 노래미, 농어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 미꾸라지, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 자월도는 어종이 다양하지 않으므로 간단한 채비로 방파제 및 갯바위에서 낚시를 즐겨도 된다."
126.3533056,37.25847222,자월도,굴뿌리 앞바다,모래,27~30,인천광역시 옹진군,0,9,IE_0062,웅진소청초,,자월도의 북측 서쪽 끝 부근으로부터 북동쪽 약 11km까지 얕은 펄이 뻗쳐 곳곳에 간출되므로 항해 시 주의가 필요하다.,"자월도의 주요 어종은 넙치, 노래미, 농어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 미꾸라지, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 자월도는 어종이 다양하지 않으므로 간단한 채비로 방파제 및 갯바위에서 낚시를 즐겨도 된다."
126.31875,37.23961111,자월도,월암두(부근여) 부근,"조개껍질, 펄",13~17,인천광역시 옹진군,0,10,IE_0062,웅진소청초,,자월도의 북측 서쪽 끝 부근으로부터 북동쪽 약 11km까지 얕은 펄이 뻗쳐 곳곳에 간출되므로 항해 시 주의가 필요하다.,"자월도의 주요 어종은 넙치, 노래미, 농어, 우럭 등이다. 루어낚시는 그럽웜, 미노우 플러그, 지그헤드 등을 사용하며 릴찌낚시, 민장대낚시, 원투낚시는 미꾸라지, 오징어살, 전갱이, 참갯지렁이, 청갯지렁이, 크릴, 홍갯지렁이 등을 사용한다. 자월도는 어종이 다양하지 않으므로 간단한 채비로 방파제 및 갯바위에서 낚시를 즐겨도 된다."
