id,userid,fishingId,rating,reviewContent,createdAt
1,1838,611,4,at nibh in hac habitasse platea dictumst aliquam augue quam,2020-07-15
2,1119,249,3,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,2020-11-04
3,770,93,4,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,2019-12-20
4,933,618,1,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,2020-12-05
5,422,472,4,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,2020-10-26
6,1618,1133,1,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,2021-08-28
7,1025,425,1,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,2019-04-08
8,733,174,5,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,2019-07-09
9,922,1108,4,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,2020-05-27
10,1124,547,5,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,2020-01-17
11,1706,357,5,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,2019-03-01
12,1661,846,5,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,2019-03-19
13,1195,799,5,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,2019-10-10
14,877,373,2,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,2019-07-04
15,1103,760,5,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,2020-09-09
16,984,708,1,egestas metus aenean fermentum donec ut mauris eget massa tempor,2019-10-31
17,622,775,5,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,2020-09-15
18,1444,245,2,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,2019-05-20
19,677,515,3,suscipit ligula in lacus curabitur at ipsum ac tellus semper,2021-09-26
20,1779,1095,5,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,2019-03-14
21,414,530,2,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,2021-06-24
22,1430,197,4,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,2021-03-30
