X,Y,OBJECTID,YINFO_ID,NAME,POINT_NM,MATERIAL,DPWT,TIDE_TIME,TARGET,PHOTO1_PAT,ADR_KNM,FISH,CATEGORY,ID
124.729472199961,37.8317777808872,S10001,F1001,대청도·소청도,선진포항 앞바다,가는 모래,13~20,조금 전후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶삼치 - 루어, 릴찌
▶쏨뱅이 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",0,1
124.780222199965,37.777277780889600,S10002,F1001,대청도·소청도,곽암 부근,"자갈, 조개껍질",23~29,조금 전후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶삼치 - 루어, 릴찌
▶쏨뱅이 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",0,2
124.733749999962,37.7515000008869,S10003,F1001,대청도·소청도,가두암 부근,가는 모래,26~30,조금 전후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶삼치 - 루어, 릴찌
▶쏨뱅이 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",0,3
124.664083299956,37.8012777808829,S10004,F1001,대청도·소청도,갑죽도 부근,"모래, 조개껍질",22~27,조금 전후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶삼치 - 루어, 릴찌
▶쏨뱅이 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",04_갑죽도 부근.JPG,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",0,4
126.3179722,37.522833330911500,S10005,F1002,장봉도,비가지(날가지도) 부근,"모래, 펄",6~11,"조금 전·후, 3물~5물","▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶망둑어 - 원투 
▶숭어 - 릴찌, 장대, 훌치기
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,노래미,망둑어,숭어,우럭",0,5
126.39766670000000,37.5381111109117,S10006,F1002,장봉도,부도 부근,모래,10~15,"조금 전·후, 3물~5물","▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶망둑어 - 원투 
▶숭어 - 릴찌, 장대, 훌치기
▶우럭 - 릴찌, 원투",02_부도 부근.JPG,인천광역시 옹진군,"넙치,노래미,망둑어,숭어,우럭",0,6
126.2794167,37.27786111090930,S10007,F1003,자월도,묵통도 부근,모래,12.5~14,"들물, 날물","▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"농어,우럭",0,7
126.3135556,37.2695277809094,S10008,F1003,자월도,입암두 앞바다,모래,8~10,"들물, 날물","▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"농어,우럭",0,8
126.35330560000000,37.2584722209093,S10009,F1003,자월도,굴뿌리 앞바다,모래,27~30,"들물, 날물","▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"농어,우럭",0,9
126.31875,37.2396111109091,S10010,F1003,자월도,월암두(부근여) 부근,"조개껍질, 펄",13~17,"들물, 날물","▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",04_월암두 부근.JPG,인천광역시 옹진군,"농어,우럭",0,10
