X,Y,OBJECTID,YINFO_ID,NAME,POINT_NM,MATERIAL,DPWT,ADR_KNM,CATEGORY,ID,OBS_CODE,OBS_POST_ID
124.7294722,37.83177778,S10001,F1001,대청도·소청도,선진포항 앞바다,가는 모래,13~20,인천광역시 옹진군,0,1,IE_0062,웅진소청초
124.7802222,37.77727778,S10002,F1001,대청도·소청도,곽암 부근,"자갈, 조개껍질",23~29,인천광역시 옹진군,0,2,IE_0062,웅진소청초
124.73375,37.7515,S10003,F1001,대청도·소청도,가두암 부근,가는 모래,26~30,인천광역시 옹진군,0,3,IE_0062,웅진소청초
124.6640833,37.80127778,S10004,F1001,대청도·소청도,갑죽도 부근,"모래, 조개껍질",22~27,인천광역시 옹진군,0,4,IE_0062,웅진소청초
126.3179722,37.52283333,S10005,F1002,장봉도,비가지(날가지도) 부근,"모래, 펄",6~11,인천광역시 옹진군,0,5,IE_0062,웅진소청초
126.3976667,37.53811111,S10006,F1002,장봉도,부도 부근,모래,10~15,인천광역시 옹진군,0,6,IE_0062,웅진소청초
126.2794167,37.27786111,S10007,F1003,자월도,묵통도 부근,모래,12.5~14,인천광역시 옹진군,0,7,IE_0062,웅진소청초
126.3135556,37.26952778,S10008,F1003,자월도,입암두 앞바다,모래,8~10,인천광역시 옹진군,0,8,IE_0062,웅진소청초
126.3533056,37.25847222,S10009,F1003,자월도,굴뿌리 앞바다,모래,27~30,인천광역시 옹진군,0,9,IE_0062,웅진소청초
126.31875,37.23961111,S10010,F1003,자월도,월암두(부근여) 부근,"조개껍질, 펄",13~17,인천광역시 옹진군,0,10,IE_0062,웅진소청초
126.0732222,37.27838889,S10011,F1004,덕적도·소야도,선미도 부근,모래,10~15,인천광역시 옹진군,0,11,DT_0065,덕적도
126.0868889,37.25930556,S10012,F1004,덕적도·소야도,단탄 부근,모래,12~17,인천광역시 옹진군,0,12,DT_0065,덕적도
126.0808889,37.21611111,S10013,F1004,덕적도·소야도,용담갑 앞바다,가는모래,30~35,인천광역시 옹진군,0,13,DT_0065,덕적도
126.0998889,37.20563889,S10014,F1004,덕적도·소야도,감증탄 부근,바위,6~10,인천광역시 옹진군,0,14,DT_0065,덕적도
126.2106111,37.19452778,S10015,F1005,이작도·승봉도,벌도와 동백도 사이,가는 모래,20~27,인천광역시 옹진군,0,15,IE_0062,웅진소청초
126.2200833,37.19880556,S10016,F1005,이작도·승봉도,동백도 동측 앞바다,가는 모래,47~50,인천광역시 옹진군,0,16,IE_0062,웅진소청초
126.2604167,37.1855,S10017,F1005,이작도·승봉도,오형제바위 앞바다,펄,13~22,인천광역시 옹진군,0,17,IE_0062,웅진소청초
126.2879444,37.16138889,S10018,F1005,이작도·승봉도,송곳부리 앞바다,"모래, 펄, 조개껍질",8.4~10,인천광역시 옹진군,0,18,IE_0062,웅진소청초
126.2559722,37.16519444,S10019,F1005,이작도·승봉도,작은풀안해수욕장 앞바다,"모래, 펄",17~20,인천광역시 옹진군,0,19,IE_0062,웅진소청초
126.2463333,37.18022222,S10020,F1005,이작도·승봉도,선착장 앞바다,"모래, 펄",10~17,인천광역시 옹진군,0,20,IE_0062,웅진소청초
126.0893333,37.20363889,S10021,F1006,문갑도·선갑도,문갑도 감증탄 부근,가는 모래,14.5~18,인천광역시 옹진군,0,21,IE_0062,웅진소청초
126.12125,37.18672222,S10022,F1006,문갑도·선갑도,문갑도 할미취 부근,가는 모래,7.8~10,인천광역시 옹진군,0,22,IE_0062,웅진소청초
126.0436944,37.09236111,S10023,F1006,문갑도·선갑도,선갑도 서측 바다,가는 모래,35~40,인천광역시 옹진군,0,23,IE_0062,웅진소청초
126.0809722,37.05872222,S10024,F1006,문갑도·선갑도,선갑도 우두암 부근,"펄, 모래",36~39,인천광역시 옹진군,0,24,IE_0062,웅진소청초
125.9461389,37.06466667,S10025,F1007,백아도·굴업도,백아도 오도 부근,펄,6.2~10,인천광역시 옹진군,0,25,IE_0062,웅진소청초
125.9687222,37.05686111,S10026,F1007,백아도·굴업도,백아도 광대도 부근,"모래, 펄",3.8~5.2,인천광역시 옹진군,0,26,IE_0062,웅진소청초
125.9991944,37.19883333,S10027,F1007,백아도·굴업도,굴업도 동뿌리 앞바다,가는 모래,40~43,인천광역시 옹진군,0,27,IE_0062,웅진소청초
125.9805,37.18013889,S10028,F1007,백아도·굴업도,굴업도 항도 부근,펄,5~6.2,인천광역시 옹진군,0,28,IE_0062,웅진소청초
