X,Y,OBJECTID,YINFO_ID,NAME,POINT_NM,MATERIAL,DPWT,TIDE_TIME,TARGET,PHOTO1_PAT,ADR_KNM,FISH,CATEGORY
127.4536944,34.54369444,G10392,F1026,나로도,내나로도 구룡마을 갯바위,펄,1.5~2.4,초들물~만조,"▶감성돔 - 릴찌, 장대, 원투 
▶농어 - 루어, 릴찌
▶볼락 - 루어, 릴찌, 장대 
▶우럭 - 릴찌, 원투",,전라남도 고흥군,"감성돔,농어,볼락,우럭",1
126.22375,33.41169444,G20695,F2043,제주도 서부·차귀도·비양도,비양도 북측 큰여,"모래, 조개껍질",0.1~1.6,들물/썰물,"▶감성돔 - 릴찌, 장대, 원투
▶벤자리 - 릴찌, 민장대
▶삼치 - 루어, 릴찌
▶방어 - 부력, 잠수, 지깅
▶벵에돔 - 목줄, 장대, 부력, 잠수
▶한치 - 루어, 원투",20_비양도 북측 큰여.JPG,제주특별자치도 제주시,"감성돔,벤자리,삼치,방어,벵에돔,한치",1
126.5079722,33.51672222,G20712,F2044,제주도 북서부,용두암 낚시터,암,0~4.5,들물/썰물,"▶감성돔 - 릴찌, 장대, 원투
▶농어 - 루어, 릴찌
▶돌돔 - 민장대, 릴찌, 원투
▶벵에돔 - 목줄, 장대, 부력, 잠수
▶참돔 - 부력, 잠수
▶고등어 - 루어, 릴찌, 장대
▶독가시치 - 목줄, 장대, 부력",15_용두암 낚시터.JPG,제주특별자치도 제주시,"감성돔,농어,돌돔,벵에돔,참돔,고등어,독가시치",1
126.9290833,33.43461111,G20753,F2047,제주도 동부,방두곶 좌측 갯바위,암,0.9~4.1,들물/날물,"▶참돔 - 부력, 잠수 
▶돌돔 - 민장대, 릴찌, 원투 
▶볼락 - 루어, 릴찌, 장대
▶벵에돔 - 목줄, 장대, 부력, 잠수 
▶무늬오징어 - 에깅 
▶독가시치 - 목줄, 장대, 부력, 잠수",01_방두곶 좌측 갯바위.JPG,제주특별자치도 서귀포시,"참돔,돌돔,볼락,벵에돔,무늬오징어,독가시치",1
126.6638889,33.23869444,G20775,F2048,제주도 남동부,가막코지 갯바위,암,0.2~1.2,들물/날물,"▶참돔 - 부력, 잠수 
▶돌돔 - 민장대, 릴찌, 원투 
▶다금바리 - 원투
▶벵에돔 - 목줄, 장대, 부력, 잠수 
▶부시리 - 부력, 잠수, 지깅",11_가막코지 갯바위.JPG,제주특별자치도 서귀포시,"참돔,돌돔,다금바리,벵에돔,부시리",1
124.6944167,37.80655556,G10005,F1001,대청도·소청도,대청도 기름아가리(기름바다),모래,1.9~2.4,사리 전후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶삼치 - 루어, 릴찌
▶쏨뱅이 - 루어, 릴찌 
▶우럭 - 루어, 릴찌",05_대청도 기름아가리(기름바다).JPG,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",1
124.6797222,37.82225,G10009,F1001,대청도·소청도,대청도 지두리해변 갯바위,"모래, 조개껍질",1.4~2,사리 전후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶쏨뱅이 - 루어, 릴찌
▶우럭 - 루어, 릴찌",,인천광역시 옹진군,"넙치,노래미,농어,쏨뱅이,우럭",1
126.2921667,37.26891667,G10025,F1003,자월도,마바위,모래,1.2~1.9,"들물, 날물","▶넙치 - 루어, 원투 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,우럭",1
126.3303889,37.24588889,G10029,F1003,자월도,분모골,"조개껍질, 펄",1.3~3,들물,"▶넙치 - 루어, 원투 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,우럭",1
126.2898889,37.2555,G10031,F1003,자월도,항도(목섬) 부근,모래,1.2~2,들물,"▶노래미 - 루어, 릴찌, 장대, 원투 
▶우럭 - 릴찌, 원투",07_목섬 부근.JPG,인천광역시 옹진군,"노래미,우럭",1
