X,Y,OBJECTID,YINFO_ID,NAME,POINT_NM,MATERIAL,DPWT,TIDE_TIME,TARGET,PHOTO1_PAT,ADR_KNM,FISH,CATEGORY
127.45369440000002,34.5436944408816,G10392,F1026,나로도,내나로도 구룡마을 갯바위,펄,1.5~2.4,초들물~만조,"▶감성돔 - 릴찌, 장대, 원투 
▶농어 - 루어, 릴찌
▶볼락 - 루어, 릴찌, 장대 
▶우럭 - 릴찌, 원투",,전라남도 고흥군,"감성돔,농어,볼락,우럭",1
126.22375,33.4116944408675,G20695,F2043,제주도 서부·차귀도·비양도,비양도 북측 큰여,"모래, 조개껍질",0.1~1.6,들물/썰물,"▶감성돔 - 릴찌, 장대, 원투
▶벤자리 - 릴찌, 민장대
▶삼치 - 루어, 릴찌
▶방어 - 부력, 잠수, 지깅
▶벵에돔 - 목줄, 장대, 부력, 잠수
▶한치 - 루어, 원투",20_비양도 북측 큰여.JPG,제주특별자치도 제주시,"감성돔,벤자리,삼치,방어,벵에돔,한치",1
126.5079722,33.516722220869,G20712,F2044,제주도 북서부,용두암 낚시터,암,0~4.5,들물/썰물,"▶감성돔 - 릴찌, 장대, 원투
▶농어 - 루어, 릴찌
▶돌돔 - 민장대, 릴찌, 원투
▶벵에돔 - 목줄, 장대, 부력, 잠수
▶참돔 - 부력, 잠수
▶고등어 - 루어, 릴찌, 장대
▶독가시치 - 목줄, 장대, 부력",15_용두암 낚시터.JPG,제주특별자치도 제주시,"감성돔,농어,돌돔,벵에돔,참돔,고등어,독가시치",1
126.9290833,33.434611110868,G20753,F2047,제주도 동부,방두곶 좌측 갯바위,암,0.9~4.1,들물/날물,"▶참돔 - 부력, 잠수 
▶돌돔 - 민장대, 릴찌, 원투 
▶볼락 - 루어, 릴찌, 장대
▶벵에돔 - 목줄, 장대, 부력, 잠수 
▶무늬오징어 - 에깅 
▶독가시치 - 목줄, 장대, 부력, 잠수",01_방두곶 좌측 갯바위.JPG,제주특별자치도 서귀포시,"참돔,돌돔,볼락,벵에돔,무늬오징어,독가시치",1
126.6638889,33.238694440865395,G20775,F2048,제주도 남동부,가막코지 갯바위,암,0.2~1.2,들물/날물,"▶참돔 - 부력, 잠수 
▶돌돔 - 민장대, 릴찌, 원투 
▶다금바리 - 원투
▶벵에돔 - 목줄, 장대, 부력, 잠수 
▶부시리 - 부력, 잠수, 지깅",11_가막코지 갯바위.JPG,제주특별자치도 서귀포시,"참돔,돌돔,다금바리,벵에돔,부시리",1
124.694416699959,37.8065555608849,G10005,F1001,대청도·소청도,대청도 기름아가리(기름바다),모래,1.9~2.4,사리 전후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶삼치 - 루어, 릴찌
▶쏨뱅이 - 루어, 릴찌 
▶우럭 - 루어, 릴찌",05_대청도 기름아가리(기름바다).JPG,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",1
124.679722199957,37.8222500008841,G10009,F1001,대청도·소청도,대청도 지두리해변 갯바위,"모래, 조개껍질",1.4~2,사리 전후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶쏨뱅이 - 루어, 릴찌
▶우럭 - 루어, 릴찌",,인천광역시 옹진군,"넙치,노래미,농어,쏨뱅이,우럭",1
126.29216669999902,37.2689166709094,G10025,F1003,자월도,마바위,모래,1.2~1.9,"들물, 날물","▶넙치 - 루어, 원투 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,우럭",1
126.330388899999,37.2458888909091,G10029,F1003,자월도,분모골,"조개껍질, 펄",1.3~3,들물,"▶넙치 - 루어, 원투 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,우럭",1
126.2898889,37.2555000009092,G10031,F1003,자월도,항도(목섬) 부근,모래,1.2~2,들물,"▶노래미 - 루어, 릴찌, 장대, 원투 
▶우럭 - 릴찌, 원투",07_목섬 부근.JPG,인천광역시 옹진군,"노래미,우럭",1
126.254722199999,37.1812777809085,G10053,F1005,이작도·승봉도,대이작도 오형제바위,"펄, 모래",3~5,조금 전·후,"▶넙치 - 루어, 원투 
▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",05_대이작도 오형제바위.JPG,인천광역시 옹진군,"넙치,농어,우럭",1
126.2732222,37.1598888909083,G10054,F1005,이작도·승봉도,대이작도 토끼바위 부근,"펄, 모래",3~5,조금 전·후,"▶넙치 - 루어, 원투 
▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,농어,우럭",1
125.983666699999,37.1944722209082,G10084,F1007,백아도·굴업도,굴업도 해수욕장 북쪽 갯바위,가는 모래,1.8~2.5,들물,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶붕장어 - 원투
▶우럭 - 릴찌, 원투",,인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",1
126.54975,37.054527780907605,G10128,F1010,입파도·국화도,국화도 도지섬 부근,펄,2.3~4,조금 전·후,"▶노래미 - 루어, 릴찌, 장대, 원투 
▶도다리 - 원투
▶우럭 - 루어, 릴찌",13_국화도 도지섬 부근.JPEG,경기도 화성시,"노래미,도다리,우럭",1
126.4495278,37.0442777809074,G10139,F1011,풍도·난지도,대난지도 도끝이 부근,펄,1.7~3,"만조, 간조 전·후","▶넙치 - 루어, 원투 
▶농어 - 루어, 릴찌
▶도다리 - 원투 
▶붕장어 - 원투
▶우럭 - 릴찌, 원투",10_대난지도 도끝이 부근.JPEG,충청남도 당진시,"넙치,농어,도다리,붕장어,우럭",1
126.3844444,36.3709722209011,G10154,F1012,원산도·삽시도,원산도 개간지,자갈,1.8~2.3,들물 전·후,"▶감성돔 - 릴찌, 장대, 원투 
▶갑오징어 - 에깅
▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투 
▶주꾸미 - 루어",,충청남도 보령시,"감성돔,갑오징어,넙치,노래미,농어,우럭,주꾸미",1
126.3398889,36.32911111090071,G10158,F1012,원산도·삽시도,삽시도 촛대바위,"모래, 조개껍질",3~3.4,조금 전·후,"▶감성돔 - 릴찌, 장대, 원투 
▶갑오징어 - 에깅 
▶넙치 - 루어, 원투
▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투 
▶주꾸미 - 루어",,충청남도 보령시,"감성돔,갑오징어,넙치,농어,우럭,주꾸미",1
126.257583299999,36.2957222209002,G10162,F1013,호도·녹도·외연도,호도 안통,펄,2.2~3,초들물,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶우럭 - 릴찌, 원투",,충청남도 보령시,"넙치,노래미,농어,우럭",1
125.966861099998,36.126138890898105,G10176,F1014,어청도·연도,어청도 등대 부근,펄,3.8~5.2,"들물, 날물","▶감성돔 - 릴찌, 장대, 원투 
▶갑오징어 - 에깅
▶넙치 - 루어, 원투 
▶농어 - 루어, 릴찌
▶방어 - 부력, 잠수, 지깅 
▶우럭 - 릴찌, 원투",,전라북도 군산시,"감성돔,갑오징어,넙치,농어,방어,우럭",1
126.45794440000002,35.7350000008948,G10203,F1015,십이동파도·비안도,비안도 제방,조개껍질,1.5~2,들물 전·후,"▶넙치 - 루어, 원투 
▶노래미 - 루어, 릴찌, 장대, 원투
▶농어 - 루어, 릴찌 
▶붕장어 - 원투
▶우럭 - 릴찌, 원투",,전라북도 군산시,"넙치,노래미,농어,붕장어,우럭",1
