id,longitude,latitude,name,pointName,material,dpwt,address,category,obsCode,obsPostId
1,124.7294722,37.83177778,대청도·소청도,선진포항 앞바다,가는 모래,13~20,인천광역시 옹진군,0,IE_0062,웅진소청초
2,124.7802222,37.77727778,대청도·소청도,곽암 부근,"자갈, 조개껍질",23~29,인천광역시 옹진군,0,IE_0062,웅진소청초
3,124.73375,37.7515,대청도·소청도,가두암 부근,가는 모래,26~30,인천광역시 옹진군,0,IE_0062,웅진소청초
4,124.6640833,37.80127778,대청도·소청도,갑죽도 부근,"모래, 조개껍질",22~27,인천광역시 옹진군,0,IE_0062,웅진소청초
5,126.3179722,37.52283333,장봉도,비가지(날가지도) 부근,"모래, 펄",6~11,인천광역시 옹진군,0,IE_0062,웅진소청초
6,126.3976667,37.53811111,장봉도,부도 부근,모래,10~15,인천광역시 옹진군,0,IE_0062,웅진소청초
7,126.2794167,37.27786111,자월도,묵통도 부근,모래,12.5~14,인천광역시 옹진군,0,IE_0062,웅진소청초
8,126.3135556,37.26952778,자월도,입암두 앞바다,모래,8~10,인천광역시 옹진군,0,IE_0062,웅진소청초
9,126.3533056,37.25847222,자월도,굴뿌리 앞바다,모래,27~30,인천광역시 옹진군,0,IE_0062,웅진소청초
10,126.31875,37.23961111,자월도,월암두(부근여) 부근,"조개껍질, 펄",13~17,인천광역시 옹진군,0,IE_0062,웅진소청초
11,126.0732222,37.27838889,덕적도·소야도,선미도 부근,모래,10~15,인천광역시 옹진군,0,DT_0065,덕적도
12,126.0868889,37.25930556,덕적도·소야도,단탄 부근,모래,12~17,인천광역시 옹진군,0,DT_0065,덕적도
13,126.0808889,37.21611111,덕적도·소야도,용담갑 앞바다,가는모래,30~35,인천광역시 옹진군,0,DT_0065,덕적도
14,126.0998889,37.20563889,덕적도·소야도,감증탄 부근,바위,6~10,인천광역시 옹진군,0,DT_0065,덕적도
15,126.2106111,37.19452778,이작도·승봉도,벌도와 동백도 사이,가는 모래,20~27,인천광역시 옹진군,0,IE_0062,웅진소청초
16,126.2200833,37.19880556,이작도·승봉도,동백도 동측 앞바다,가는 모래,47~50,인천광역시 옹진군,0,IE_0062,웅진소청초
